epoch,train_loss,val_loss,val_dice,dice_class_1,dice_class_2,dice_class_3
1,0.7081,0.5153,0.0184,0.0000,0.0000,0.0553
2,0.3855,0.2900,0.5419,0.4919,0.4790,0.6550
3,0.2285,0.1829,0.7408,0.6822,0.6913,0.8488
4,0.1393,0.1335,0.7835,0.7302,0.7452,0.8751
5,0.0979,0.0849,0.8436,0.8438,0.7789,0.9081
6,0.0701,0.0671,0.8195,0.8528,0.7278,0.8778
7,0.0536,0.0557,0.8560,0.8537,0.8064,0.9079
8,0.0438,0.0496,0.8387,0.8400,0.7743,0.9020
9,0.0361,0.0388,0.8742,0.8684,0.8237,0.9305
10,0.0315,0.0396,0.8603,0.8811,0.7941,0.9056
