patient,slices,dice_mean,dice_class_1,dice_class_2,dice_class_3
patient042,18,0.9221872488657633,0.9164086580276489,0.8844083547592163,0.9657447338104248
patient023,18,0.895320733388265,0.8806053996086121,0.8910557627677917,0.9143010377883911
patient020,16,0.9246016343434652,0.9317764639854431,0.8800235986709595,0.9620048403739929
patient036,16,0.9451024731000265,0.9566041231155396,0.9168739318847656,0.9618293642997742
patient065,16,0.9192605415980021,0.9554425477981567,0.8618544936180115,0.9404845833778381
patient048,16,0.8982335329055786,0.8614650964736938,0.8822458982467651,0.9509896039962769
patient013,20,0.9325184027353922,0.9266306757926941,0.9045307636260986,0.966393768787384
patient054,16,0.7961605985959371,0.6126238703727722,0.8274587392807007,0.9483991861343384
patient015,18,0.913109282652537,0.9138460159301758,0.8615935444831848,0.9638882875442505
patient014,20,0.9200361768404642,0.9052887558937073,0.8823035955429077,0.9725161790847778
patient067,20,0.9108629028002421,0.9062255620956421,0.876950204372406,0.9494129419326782
patient037,14,0.7619402408599854,0.7010851502418518,0.7620181441307068,0.8227174282073975
patient066,18,0.9429394602775574,0.9617844820022583,0.9052963852882385,0.9617375135421753
patient078,16,0.954938809076945,0.9557718634605408,0.9388497471809387,0.9701948165893555
patient009,20,0.8970054984092712,0.8313817381858826,0.9000116586685181,0.9596230983734131
